JD,Magnitude,Uncertainty
2455201.954,4.12,
2455206.66,3.48,
2455210.913,4.06,
2455242.892,3.84,
2455251.887,4.06,
2455260.917,4.21,
2455265.979,3.29,
2455272.848,3.94,
2455294.835,3.74,
2455296.945,3.68,
2455307.822,3.74,
2455320.788,4.06,
2455321.832,3.84,
2455324.808,3.64,
2455337.783,3.56,
2455348.794,4.02,
2455498.892,3.63,
2455499.902,3.79,
2455511.107,3.75,
2455513.924,3.69,
2455525.986,4.12,
2455528.941,3.91,
2455534.041,3.57,
2455536.936,3.94,
2455537.941,3.83,
2455541.926,3.64,
2455559.993,3.57,
2455570.926,3.76,
2455587.469,3.85,
2455587.928,3.91,
2455591.48,3.6,
2455597.504,3.5,
2455601.452,3.5,
2455611.466,3.4,
2455626.478,3.7,
2455631.434,3.8,
2455638.46,3.5,
2455655.431,3.9,
2455656.506,3.9,
2455657.44,3.5,
2455658.438,3.2,
2455659.423,3.1,
2455660.842,3.52,
2455665.416,4,
2455677.41,3.6,
2455678.411,3.3,
2455678.804,3.61,
2455683.425,4.1,
2455686.428,3.9,
2455687.418,3.7,
2455689.442,3.7,
2455702.442,4.1,
2455703.41,4.1,
2455709.412,3.3,
2455712.401,4,
2455874.264,3.633,0.026
2455874.264,4.327,0.045
2455874.264,3.252,0.018
2455883.139,3.807,0.016
2455883.139,4.559,0.067
2455883.139,3.408,0.047
2455885.242,3.515,0.023
2455885.242,4.191,0.083
2455885.242,3.171,0.06
2455888.46,3.8,
2455889.47,3.8,
2455890.477,3.9,
2455893.202,3.746,0.02
2455893.202,4.555,0.048
2455893.202,3.359,0.043
2455893.413,3.6,
2455894.463,3.5,
2455896.463,3.45,
2455908.93,3.874,0.031
2455908.93,4.864,0.055
2455908.93,3.376,0.052
2455910.949,4.05,
2455911.96,3.94,
2455912.922,3.88,
2455915.278,3.444,0.068
2455915.278,4.19,0.121
2455915.278,3.134,0.041
2455918.938,3.86,
2455919.973,4.08,
2455930.277,4.1,0.008
2455930.277,5.09,0.139
2455930.277,3.605,0.033
2455930.488,4,
2455930.932,4.018,0.006
2455930.932,5.007,0.032
2455930.932,3.539,0.022
2455931.26,3.958,0.011
2455931.26,4.86,0.057
2455931.26,3.467,0.068
2455931.938,3.823,0.007
2455931.938,4.659,0.091
2455931.938,3.38,0.068
2455932.26,3.795,0.036
2455932.26,4.567,0.117
2455932.26,3.35,0.04
2455932.925,3.681,0.018
2455932.925,4.521,0.086
2455932.925,3.341,0.045
2455933.025,3.84,
2455933.974,3.58,
2455935.931,3.574,0.008
2455935.931,4.438,0.122
2455935.931,3.255,0.037
2455936.934,3.67,0.034
2455936.934,4.553,0.033
2455936.934,3.246,0.034
2455938.918,3.941,0.041
2455938.918,4.894,0.075
2455938.918,3.469,0.013
2455947.951,3.833,0.023
2455947.951,4.786,0.038
2455947.951,3.382,0.046
2455963.924,3.522,0.009
2455963.924,4.251,0.075
2455963.924,3.149,0.024
2455965.92,3.575,0.012
2455965.92,4.36,0.048
2455965.92,3.133,0.062
2455966.923,3.751,0.058
2455966.923,4.691,0.042
2455966.923,3.314,0.01
2455967.66,3.9,
2455967.929,3.871,0.031
2455967.929,4.803,0.017
2455967.929,3.413,0.02
2455969.936,4.062,0.014
2455969.936,5.072,0.039
2455969.936,3.605,0.008
2455977.466,3.6,
2455978.578,3.9,
2455978.578,3.8,
2455978.578,3.9,
2455989.904,4.009,0.013
2455989.904,4.967,0.017
2455989.904,3.537,0.018
2455992.444,3.7,
2455992.919,3.569,0.006
2455992.919,4.295,0.068
2455992.919,3.197,0.017
2455993.439,3.5,
2455993.445,3.5,
2455994.455,3.4,
2455994.455,3.5,
2455998.464,3.7,
2455999.439,3.9,
2456006.453,3.6,
2456006.453,3.7,
2456006.564,3.8,
2456007.444,3.7,
2456007.444,3.7,
2456007.86,4.18,
2456007.887,3.958,0.002
2456007.887,4.956,0.022
2456007.887,3.494,0.015
2456009.893,3.995,0.02
2456009.893,4.934,0.015
2456009.893,3.546,0.006
2456010.622,3.8,
2456012.485,3.8,
2456014.967,3.71,
2456015.366,3.6,
2456015.463,3.4,
2456015.889,3.67,0.02
2456015.889,4.545,0.022
2456015.889,3.263,0.009
2456016.428,3.8,
2456016.429,3.5,
2456017.419,3.9,
2456018.451,3.9,
2456019.883,3.944,0.006
2456019.883,4.829,0.015
2456019.883,3.476,0.018
2456020.479,3.9,
2456020.881,3.758,0.019
2456020.881,4.56,0.052
2456020.881,3.366,0.01
2456021.523,3.6,
2456021.885,3.644,0.02
2456021.885,4.375,0.014
2456021.885,3.254,0.024
2456022.433,3.6,
2456022.433,3.6,
2456022.88,3.561,0.021
2456022.88,4.268,0.011
2456022.88,3.191,0.016
2456023.875,3.439,0.013
2456023.875,4.099,0.066
2456023.875,3.072,0.05
2456024.499,3.6,
2456033.57,3.6,
2456034.469,3.5,
2456036.414,3.6,
2456050.412,3.6,
2456051.53,3.4,
2456053.563,3.4,
2456055.425,3.6,
2456057.414,4.1,
2456058.467,3.6,
2456061.399,3.7,
2456062.391,3.8,
2456069.41,4,
2456070.393,3.9,
2456074.39,3.6,
2456075.381,3.6,
2456077.397,4.3,
2456084.481,3.5,
2456092.39,3.4,
2456238.585,3.6,
2456257.535,3.8,
2456275.918,3.914,0.023
2456275.918,4.815,0.036
2456275.918,3.468,0.018
2456276.911,3.796,0.016
2456276.911,4.579,0.073
2456276.911,3.391,0.011
2456278.909,3.491,0.025
2456278.909,4.227,0.048
2456278.909,3.126,0.021
2456279.529,3.5,
2456280.494,3.6,
2456285.526,3.8,
2456294.919,4.045,0.011
2456294.919,5.056,0.02
2456294.919,3.549,0.016
2456295.921,3.828,0.015
2456295.921,4.68,0.012
2456295.921,3.416,0.021
2456296.548,3.6,
2456296.92,3.699,0.01
2456296.92,4.48,0.053
2456296.92,3.304,0.028
2456297.923,3.61,0.025
2456297.923,4.358,0.015
2456297.923,3.225,0.005
2456298.923,3.396,0.02
2456298.923,4.098,0.023
2456298.923,3.05,0.016
2456301.917,3.743,0.022
2456301.917,4.647,0.027
2456301.917,3.289,0.016
2456302.924,3.935,0.024
2456302.924,4.932,0.015
2456302.924,3.457,0.007
2456305.918,3.807,0.025
2456305.918,4.647,0.026
2456305.918,3.373,0.011
2456306.784,3.8,
2456306.939,3.67,0.014
2456306.939,4.448,0.033
2456306.939,3.276,0.01
2456311.535,3.6,
2456312.496,3.8,
2456312.496,3.9,
2456315.473,3.8,
2456325.917,3.775,0.011
2456325.917,4.595,0.035
2456325.917,3.361,0.018
2456326.911,3.622,0.004
2456326.911,4.353,0.042
2456326.911,3.233,0.015
2456327.913,3.533,0.019
2456327.913,4.23,0.034
2456327.913,3.168,0.012
2456330.515,3.5,
2456334.479,3.8,
2456335.907,3.765,0.014
2456335.907,4.57,0.034
2456335.907,3.349,0.015
2456339.602,3.5,
2456342.898,3.981,0.029
2456342.898,5.002,0.024
2456342.898,3.492,0.021
2456343.909,4.068,0.018
2456343.909,5.049,0.034
2456343.909,3.602,0.024
2456346.575,3.7,
2456349.894,3.557,0.033
2456349.894,4.365,0.034
2456349.894,3.157,0.008
2456353.464,3.7,
2456361.914,3.911,0.015
2456361.914,4.914,0.025
2456361.914,3.426,0.005
2456367.89,3.402,0.023
2456367.89,4.051,0.017
2456367.89,3.06,0.007
2456368.892,3.51,0.013
2456368.892,4.25,0.043
2456368.892,3.132,0.024
2456378.91,3.54,0.023
2456378.91,4.29,0.021
2456378.91,3.156,0.033
2456380.44,3.5,
2456382.417,3.8,
2456386.885,3.543,0.03
2456386.885,4.276,0.045
2456386.885,3.153,0.016
2456389.421,3.6,
2456396.915,3.543,0.007
2456396.915,4.256,0.06
2456396.915,3.176,0.01
2456397.422,3.3,
2456398.422,3.4,
2456400.867,3.844,0.011
2456400.867,4.764,0.045
2456400.867,3.394,0.012
2456402.441,4.1,
2456402.441,4,
2456403.456,4,
2456404.406,3.7,
2456405.422,3.6,
2456406.411,3.5,
2456407.866,3.488,0.018
2456407.866,4.178,0.023
2456407.866,3.109,0.014
2456411.4,3.8,
2456415.404,3.8,
2456416.407,3.8,
2456419.42,3.8,
2456421.411,4,
2456436.389,3.4,
2456439.388,3.6,
2456443.413,3.5,
2456449.413,3.7,
2456450.401,3.8,
2456497.849,3.7,
2456501.874,3.8,
2456502.861,3.8,
2456511.92,4.09,
2456515.863,3.5,
2456516.842,3.6,
2456519.854,4,
2456522.817,3.8,
2456524.867,3.6,
2456533.854,3.6,
2456534.85,3.5,
2456562.84,3.5,
2456573.826,3.6,
2456593.819,3.5,
2456594.82,3.5,
2456631.541,3.6,
2456632.792,3.5,
2456646.95,3.847,0.015
2456646.95,4.8,0.03
2456660.57,3.6,
2456663.911,3.493,0.035
2456663.911,4.224,0.025
2456663.911,3.092,0.017
2456665.48,3.6,
2456669.562,4,
2456671.941,3.62,0.02
2456671.941,4.39,0.03
2456675.533,3.9,
2456675.533,3.7,
2456675.933,3.722,0.027
2456675.933,4.638,0.028
2456675.933,3.274,0.032
2456677.469,3.8,
2456678.483,3.9,
2456685.477,3.6,
2456686.472,3.8,
2456687.465,3.8,
2456687.626,3.9,
2456688.538,3.8,
2456691.476,3.6,
2456691.93,3.9,
2456691.972,3.593,0.02
2456691.972,4.304,0.03
2456695.46,3.6,
2456697.566,3.9,
2456698.479,3.8,
2456699.471,3.8,
2456699.663,3.7,
2456700.504,3.7,
2456701.528,3.5,
2456702.902,3.395,0.007
2456702.902,4.067,0.01
2456702.902,3.05,0.011
2456703.911,3.545,0.019
2456703.911,4.316,0.023
2456703.911,3.146,0.01
2456706.583,3.9,
2456707.533,3.8,
2456709.649,3.8,
2456710.913,3.603,0.034
2456710.913,4.338,0.024
2456710.913,3.21,0.013
2456713.48,3.6,
2456717.526,3.8,
2456720.986,4.374,0.03
2456720.986,3.646,0.02
2456730.92,3.595,0.014
2456730.92,4.321,0.027
2456730.92,3.226,0.019
2456731.885,3.394,0.028
2456731.885,4.09,0.034
2456731.885,3.065,0.013
2456732.886,3.482,0.023
2456732.886,4.244,0.031
2456732.886,3.121,0.018
2456733.884,3.606,0.027
2456733.884,4.396,0.028
2456733.884,3.216,0.019
2456734.897,3.72,0.045
2456734.897,4.638,0.022
2456734.897,3.319,0.019
2456739.509,3.7,
2456749.884,3.659,0.055
2456749.884,4.395,0.055
2456749.884,3.302,0.069
2456751.872,3.385,0.025
2456751.872,4.055,0.058
2456751.872,3.096,0.076
2456754.903,3.764,0.058
2456754.903,4.671,0.055
2456754.903,3.371,0.108
2456761.87,3.38,0.04
2456761.87,4.07,0.05
2456761.87,3.11,0.11
2456764.868,3.788,0.031
2456764.868,4.75,0.073
2456764.868,3.359,0.092
2456765.883,3.946,0.029
2456765.883,4.927,0.064
2456765.883,3.501,0.096
2456767.87,3.94,0.03
2456767.87,4.82,0.05
2456767.87,3.53,0.1
2456774.861,3.821,0.029
2456774.861,4.765,0.062
2456774.861,3.42,0.103
2456775.861,3.984,0.042
2456775.861,4.989,0.056
2456775.861,3.53,0.112
2456781.861,3.434,0.037
2456781.861,4.125,0.051
2456781.861,3.169,0.136
2456784.876,3.836,0.045
2456784.876,4.786,0.079
2456784.876,3.475,0.148
2456785.86,3.94,0.06
2456785.86,4.96,0.07
2456785.86,3.51,0.14
2456787.86,3.891,0.043
2456787.86,4.758,0.073
2456787.86,3.544,0.146
2456798.858,3.719,0.073
2456798.858,4.475,0.112
2456798.858,3.452,0.195
2456875.86,3.8,
2456876.858,3.8,
2456878.852,3.6,
2456890.867,3.6,
2456891.858,3.7,
2456896.852,3.7,
2456897.859,3.6,
2456914.842,3.8,
2456916.823,3.6,
2456950.804,3.7,
2456959.802,3.6,
2456976.606,3.7,
2456978.738,3.6,
2456979.57,3.6,
2456988.791,3.5,
2456990.79,3.6,
2457010.481,3.6,
2457027.542,3.5,
2457033.234,4,
2457037.217,3.6,
2457043.243,4,
2457046.481,3.6,
2457060.484,3.6,
2457064.521,3.6,
2457065.032,3.9,
2457079.554,3.8,
2457085.544,3.6,
2457090.438,3.8,
2457091.026,4.3,
2457098.475,3.6,
2457106.024,3.5,
2457106.461,3.5,
2457118.049,3.7,
2457119.423,3.7,
2457124.477,3.6,
2457131.988,4.2,
2457139.029,4,
2457139.426,3.6,
2457141.405,3.7,
2457148.052,4,
2457150.408,4,
2457151.012,4,
2457152.416,3.7,
2457250.381,3.7,
2457269.352,4.3,
2457283.326,3.3,
2457288.345,4.2,
2457291.343,3.7,
2457296.329,3.8,
2457303.328,3.6,
2457307.322,4,
2457310.324,3.7,
2457311.29,3.7,
2457315.333,3.8,
2457316.311,3.9,
2457321.317,3.7,
2457322.297,3.6,
2457331.267,3.6,
2457334.235,3.6,
2457337.108,3.8,
2457338.233,4,
2457341.272,3.7,
2457346.277,4,
2457347.26,4.2,
2457351.115,3.7,
2457355.333,3.7,
2457356.072,3.8,
2457357.261,4,
2457364.244,3.7,
2457366.247,4,
2457367.26,4.1,
2457370.301,3.8,
2457371.223,3.7,
2457373.247,3.6,
2457374.273,3.7,
2457378.225,3.9,
2457391.925,3.416,0.012
2457391.925,4.116,0.015
2457392.93,3.552,0.014
2457392.93,4.36,0.022
2457393.972,3.667,0.021
2457393.972,4.562,0.013
2457394.255,3.9,
2457394.953,3.832,0.028
2457394.953,4.791,0.029
2457396.214,4.2,
2457397.076,4.1,
2457398.909,3.751,0.013
2457398.909,4.556,0.02
2457399.471,3.6,
2457399.909,3.62,0.022
2457399.909,4.354,0.026
2457401.061,3.5,
2457402.056,3.6,
2457404.504,3.7,
2457405.483,3.8,
2457406.507,3.9,
2457407.504,3.9,
2457407.95,3.876,0.013
2457407.95,4.709,0.02
2457408.491,3.7,
2457410.912,3.457,0.023
2457410.912,4.137,0.015
2457421.053,4.1,
2457422.047,3.8,
2457425.026,4.2,
2457427.045,4.4,
2457429.56,3.6,
2457430.038,3.7,
2457433.91,3.765,0.038
2457433.91,4.669,0.023
2457438.083,4,
2457441.051,3.5,
2457444.049,3.9,
2457444.904,3.938,0.017
2457444.904,4.937,0.011
2457446.894,3.959,0.021
2457446.894,4.889,0.015
2457448.554,3.6,
2457449.456,3.6,
2457452.027,3.7,
2457453.008,3.8,
2457454.45,3.7,
2457458.568,3.6,
2457462.458,3.7,
2457463.476,3.7,
2457464.451,3.7,
2457471.958,3.569,0.027
2457471.958,4.377,0.02
2457472.913,3.699,0.025
2457472.913,4.593,0.02
2457474.427,3.8,
2457475.427,3.7,
2457476.458,3.8,
2457477.008,4.1,
2457477.472,3.6,
2457477.875,3.71,0.022
2457477.875,4.471,0.021
2457479.547,3.5,
2457479.992,3.8,
2457480.438,3.3,
2457481.417,3.5,
2457481.908,3.571,0.017
2457481.908,4.375,0.015
2457485.035,4.1,
2457485.424,4,
2457490.88,3.49,0.02
2457490.88,4.246,0.023
2457494.419,3.8,
2457496.875,3.815,0.017
2457496.875,4.631,0.02
2457498.449,3.6,
2457509.869,3.407,0.018
2457509.869,4.033,0.024
2457510.415,3.6,
2457523.86,3.975,0.049
2457523.86,4.991,0.037
2457589.407,3.6,
2457601.376,3.8,
2457603.376,3.9,
2457614.365,3.8,
2457634.365,3.8,
2457658.291,3.6,
2457658.801,3.6,
2457659.317,3.6,
2457659.802,3.6,
2457660.326,3.7,
2457661.29,3.8,
2457664.292,4,
2457665.285,3.9,
2457666.279,3.9,
2457682.286,4,
2457683.285,4,
2457685.292,3.8,
2457687.283,3.6,
2457689.279,3.7,
2457689.622,3.6,
2457692.3,4.2,
2457695.298,3.7,
2457697.308,3.7,
2457699.281,3.7,
2457700.291,4,
2457702.273,4,
2457713.269,4,
2457714.255,3.7,
2457716.251,3.7,
2457717.241,3.7,
2457719.269,3.7,
2457720.058,3.8,
2457721.26,4,
2457722.263,4.1,
2457727.077,3.7,
2457728.248,3.7,
2457728.508,3.7,
2457730.29,3.9,
2457730.572,3.9,
2457731.069,3.9,
2457736.263,3.7,
2457737.259,3.7,
2457739.056,3.8,
2457740.251,3.9,
2457741.238,4.1,
2457741.491,3.8,
2457743.096,3.8,
2457745.228,3.7,
2457746.261,3.7,
2457747.258,3.7,
2457749.251,3.9,
2457750.24,4.1,
2457751.065,4.1,
2457752.247,4.1,
2457753.249,4,
2457755.226,3.8,
2457756.044,3.7,
2457756.499,3.7,
2457757.229,3.7,
