JD,Magnitude,Uncertainty
2455471.398,2.1,
2455471.399,2.1,
2456109.476,2.1,
2456109.479,2.1,
2456193.835,2.045,
2456193.835,2.628,
2456193.838,1.415,
2456194.566,1.4,
2456194.569,2.022,
2456194.569,2.605,
2456194.751,1.387,
2456194.754,2.01,
2456194.754,2.586,
2456194.927,1.384,
2456194.931,1.999,
2456194.931,2.566,
2456195.584,1.38,
2456195.588,1.983,
2456195.588,2.548,
2456196.558,1.374,
2456196.562,1.991,
2456196.562,2.57,
2456196.749,1.385,
2456196.753,1.993,
2456196.753,2.563,
2456197.901,1.398,
2456197.905,2.028,
2456197.905,2.616,
2456198.562,1.399,
2456198.565,2.019,
2456198.565,2.612,
2456198.749,1.403,
2456198.751,2.015,
2456198.751,2.594,
2456198.926,1.371,
2456198.93,2.005,
2456198.93,2.586,
2456199.555,1.368,
2456199.558,1.99,
2456199.558,2.561,
2456199.741,1.371,
2456199.744,1.984,
2456199.744,2.542,
2456199.922,1.366,
2456199.925,1.973,
2456199.925,2.551,
2456200.558,1.378,
2456200.561,2,
2456200.561,2.59,
2456200.724,1.384,
2456200.742,2.016,
2456200.742,2.593,
2456200.928,1.399,
2456200.931,2.003,
2456200.931,2.61,
2456204.542,1.364,
2456204.544,2.004,
2456204.544,2.569,
2456206.542,1.381,
2456206.546,2.015,
2456206.546,2.599,
2456206.729,1.387,
2456206.733,2.013,
2456206.733,2.592,
2456206.93,1.381,
2456206.933,1.997,
2456206.933,2.574,
2456208.544,1.365,
2456208.547,1.987,
2456208.547,2.559,
2456208.731,1.369,
2456208.733,1.993,
2456208.733,2.578,
2456208.931,1.355,
2456208.933,2.006,
2456208.933,2.581,
2456211.536,1.357,
2456211.54,1.971,
2456211.54,2.53,
2456211.741,1.365,
2456211.744,1.974,
2456211.744,2.534,
2456211.949,1.361,
2456211.953,1.967,
2456211.953,2.528,
2456213.522,1.399,
2456213.528,2.025,
2456213.528,2.633,
2456215.534,1.353,
2456215.538,1.967,
2456215.538,2.538,
2456215.739,1.356,
2456215.742,1.962,
2456215.742,2.536,
2456215.943,1.364,
2456215.947,1.968,
2456215.947,2.54,
2456216.514,1.396,
2456216.514,2,
2456216.514,2.576,
2456217.526,1.393,
2456217.529,2.026,
2456217.529,2.623,
2456220.662,1.371,
2456220.665,1.997,
2456220.665,2.574,
2456221.519,1.386,
2456221.523,2.031,
2456221.523,2.624,
2456221.711,1.398,
2456221.715,2.032,
2456221.715,2.617,
2456221.95,1.4,
2456221.953,2.028,
2456221.953,2.613,
2456229.514,1.41,
2456229.517,2.039,
2456229.517,2.643,
2456229.808,1.414,
2456229.81,2.046,
2456229.81,2.63,
2456230.835,1.406,
2456230.838,1.994,
2456230.838,2.574,
2456231.513,1.372,
2456231.517,1.98,
2456231.517,2.544,
2456231.733,1.359,
2456231.736,1.99,
2456231.736,2.552,
2456231.952,1.371,
2456231.956,1.971,
2456231.956,2.551,
2456232.515,1.368,
2456232.519,2,
2456232.519,2.582,
2456232.763,2.014,
2456232.763,2.609,
2456232.765,1.389,
2456237.519,1.4,
2456237.522,2.037,
2456237.522,2.641,
2456240.508,1.38,
2456240.512,2.006,
2456240.512,2.578,
2456240.749,1.385,
2456240.752,2.008,
2456240.752,2.594,
2456247.501,1.371,
2456247.504,1.982,
2456247.504,2.543,
2456247.733,1.354,
2456247.737,1.96,
2456247.737,2.521,
2456247.98,1.365,
2456247.983,1.98,
2456247.983,2.539,
2456248.513,1.386,
2456248.516,2.009,
2456248.516,2.591,
2456248.976,1.395,
2456248.98,2.017,
2456248.98,2.6,
2456253.552,1.411,
2456253.556,2.039,
2456253.556,2.636,
2456253.978,1.397,
2456253.981,2.017,
2456253.981,2.601,
2456255.5,1.366,
2456255.503,1.982,
2456255.503,2.547,
2456255.744,1.357,
2456255.748,1.964,
2456255.748,2.538,
2456258.499,1.393,
2456258.503,2.009,
2456258.503,2.595,
2456259.994,1.365,
2456259.997,1.983,
2456259.997,2.558,
2456264.555,1.382,
2456264.558,2.003,
2456264.558,2.577,
2456266.502,1.373,
2456266.505,2.012,
2456266.505,2.576,
2456273.56,1.392,
2456273.564,2.017,
2456273.564,2.599,
2456274.544,1.373,
2456274.548,1.997,
2456274.548,2.58,
2456367.5,2,
2456390.4,2,
2456407.5,1.9,
2456421.4,1.9,
2456441.5,2,
2456460.5,1.9,
2456474.5,2,
2456480.5,1.9,
2456484.45,1.8,
2456494.5,2,
2456495.6,2,
2456500.47,1.9,
2456509.5,1.9,
2456521.6,1.9,
2456535.389,2,
2456535.392,2.1,
2456568.6,1.9,
2456570.6,2,
2456573.4,1.9,
2456582.5,2,
2456588.33,1.8,
2456590.5,1.9,
2456609.219,1.8,
2456637.646,1.8,
2456654.25,1.9,
2456657.578,1.8,
2456658.444,1.9,
